날짜,오프라인비용,온라인비용
2019-01-01,4500,2424.5
2019-01-02,4500,3480.36
2019-01-03,4500,1576.38
2019-01-04,4500,2928.55
2019-01-05,4500,4055.3
2019-01-06,4500,3796.85
2019-01-07,4500,2579.52
2019-01-08,5000,2551.38
2019-01-09,5000,3287.83
2019-01-10,5000,515.44
2019-01-11,5000,1757.58
2019-01-12,5000,2435.97
2019-01-13,5000,2449.65
2019-01-14,5000,1920.57
2019-01-15,3000,1734.68
2019-01-16,3000,3727.61
2019-01-17,3000,417.73
2019-01-18,3000,1312.5
2019-01-19,3000,2753.56
2019-01-20,3000,2073.51
2019-01-21,3000,640.93
2019-01-22,1000,1049.73
2019-01-23,1000,1356.59
2019-01-24,1000,560.02
2019-01-25,1000,1124.95
2019-01-26,1000,937.58
2019-01-27,1000,687.86
2019-01-28,1000,993.69
2019-01-29,700,836.13
2019-01-30,700,981.86
2019-01-31,700,1380.14
2019-02-01,700,692.67
2019-02-02,700,770.87
2019-02-03,700,2091.61
2019-02-04,700,2216.98
2019-02-05,3000,2486.46
2019-02-06,3000,1665.47
2019-02-07,3000,877.2
2019-02-08,3000,1973.27
2019-02-09,3000,2659.34
2019-02-10,3000,2037.41
2019-02-11,3000,2864.69
2019-02-12,3000,2844.64
2019-02-13,3000,2007.32
2019-02-14,3000,830.68
2019-02-15,3000,1738.89
2019-02-16,3000,3784.07
2019-02-17,3000,2107.67
2019-02-18,3000,1586.43
2019-02-19,3500,1720.16
2019-02-20,3500,2768.28
2019-02-21,3500,727.39
2019-02-22,3500,939.9
2019-02-23,3500,2548.51
2019-02-24,3500,2280.26
2019-02-25,3500,1469.84
2019-02-26,4000,1951.71
2019-02-27,4000,4349.02
2019-02-28,4000,1817.18
2019-03-01,4000,1880.22
2019-03-02,4000,1258.6
2019-03-03,4000,2066.29
2019-03-04,4000,642.34
2019-03-05,2500,1153.36
2019-03-06,2500,1827.02
2019-03-07,2500,2335.35
2019-03-08,2500,1918.53
2019-03-09,2500,1768.28
2019-03-10,2500,1294.22
2019-03-11,2500,973.15
2019-03-12,2000,731.1
2019-03-13,2000,1498.01
2019-03-14,2000,1141.27
2019-03-15,2000,1684.18
2019-03-16,2000,2435.12
2019-03-17,2000,1837.87
2019-03-18,2000,659.57
2019-03-19,2000,982.2
2019-03-20,2000,1542.81
2019-03-21,2000,2365.81
2019-03-22,2000,2523.41
2019-03-23,2000,1736.63
2019-03-24,2000,1984.0
2019-03-25,2000,931.54
2019-03-26,2000,1672.79
2019-03-27,2000,2639.99
2019-03-28,2000,1066.12
2019-03-29,2000,1330.54
2019-03-30,2000,692.02
2019-03-31,2000,2177.75
2019-04-01,2000,4019.93
2019-04-02,2500,1909.27
2019-04-03,2500,1748.14
2019-04-04,2500,1136.06
2019-04-05,2500,2342.68
2019-04-06,2500,2307.25
2019-04-07,2500,2719.46
2019-04-08,2500,2200.69
2019-04-09,3000,1740.91
2019-04-10,3000,2143.39
2019-04-11,3000,804.85
2019-04-12,3000,1631.25
2019-04-13,3000,2872.23
2019-04-14,3000,1747.0
2019-04-15,3000,1593.58
2019-04-16,4000,2168.04
2019-04-17,4000,2526.49
2019-04-18,4000,1476.58
2019-04-19,4000,1754.92
2019-04-20,4000,1330.34
2019-04-21,4000,3078.84
2019-04-22,4000,1608.26
2019-04-23,3500,3107.11
2019-04-24,3500,1650.62
2019-04-25,3500,620.94
2019-04-26,3500,1363.31
2019-04-27,3500,2056.17
2019-04-28,3500,2019.73
2019-04-29,3500,3549.13
2019-04-30,3000,1799.66
2019-05-01,3000,1108.88
2019-05-02,3000,732.47
2019-05-03,3000,2406.31
2019-05-04,3000,2407.55
2019-05-05,3000,1177.76
2019-05-06,3000,2100.89
2019-05-07,3000,2271.0
2019-05-08,3000,869.25
2019-05-09,3000,1771.32
2019-05-10,3000,1942.13
2019-05-11,3000,1801.66
2019-05-12,3000,2113.63
2019-05-13,3000,2697.6
2019-05-14,2500,2151.7
2019-05-15,2500,682.42
2019-05-16,2500,1605.63
2019-05-17,2500,3052.49
2019-05-18,2500,2805.79
2019-05-19,2500,2331.31
2019-05-20,2500,2298.34
2019-05-21,1000,882.98
2019-05-22,1000,979.08
2019-05-23,1000,1196.03
2019-05-24,1000,670.51
2019-05-25,1000,2565.75
2019-05-26,1000,2752.13
2019-05-27,1000,1976.31
2019-05-28,500,465.4
2019-05-29,500,670.64
2019-05-30,500,1262.38
2019-05-31,500,1010.3
2019-06-01,500,320.25
2019-06-02,500,1622.46
2019-06-03,500,1230.43
2019-06-04,3500,2553.18
2019-06-05,3500,3202.1
2019-06-06,3500,1126.87
2019-06-07,3500,1694.16
2019-06-08,3500,1598.46
2019-06-09,3500,2940.1
2019-06-10,3500,1881.94
2019-06-11,3000,1428.32
2019-06-12,3000,2321.52
2019-06-13,3000,1084.43
2019-06-14,3000,1749.49
2019-06-15,3000,1919.84
2019-06-16,3000,2009.36
2019-06-17,3000,2743.71
2019-06-18,3500,2289.42
2019-06-19,3500,2617.14
2019-06-20,3500,1019.59
2019-06-21,3500,1473.98
2019-06-22,3500,2217.07
2019-06-23,3500,2283.08
2019-06-24,3500,1975.15
2019-06-25,1500,956.13
2019-06-26,1500,1478.19
2019-06-27,1500,649.14
2019-06-28,1500,1709.84
2019-06-29,1500,2652.13
2019-06-30,1500,1070.66
2019-07-01,1500,1932.64
2019-07-02,2000,1108.03
2019-07-03,2000,526.96
2019-07-04,2000,2227.95
2019-07-05,2000,2103.13
2019-07-06,2000,2663.67
2019-07-07,2000,2249.45
2019-07-08,2000,2553.01
2019-07-09,2500,1870.67
2019-07-10,2500,1240.47
2019-07-11,2500,1128.09
2019-07-12,2500,923.4
2019-07-13,2500,2489.36
2019-07-14,2500,2064.34
2019-07-15,2500,1616.22
2019-07-16,2000,1163.11
2019-07-17,2000,1331.1
2019-07-18,2000,2408.61
2019-07-19,2000,3444.24
2019-07-20,2000,2097.22
2019-07-21,2000,1253.24
2019-07-22,2000,2521.31
2019-07-23,2500,1760.92
2019-07-24,2500,850.14
2019-07-25,2500,1169.05
2019-07-26,2500,1627.19
2019-07-27,2500,1151.7
2019-07-28,2500,2425.35
2019-07-29,2500,1353.73
2019-07-30,1500,478.27
2019-07-31,1500,985.28
2019-08-01,1500,641.12
2019-08-02,1500,2155.96
2019-08-03,1500,2493.64
2019-08-04,1500,2688.98
2019-08-05,1500,2016.04
2019-08-06,3000,1143.02
2019-08-07,3000,1946.56
2019-08-08,3000,1486.8
2019-08-09,3000,2285.79
2019-08-10,3000,1662.28
2019-08-11,3000,2563.83
2019-08-12,3000,1890.41
2019-08-13,3500,1846.18
2019-08-14,3500,1984.92
2019-08-15,3500,1122.49
2019-08-16,3500,1692.8
2019-08-17,3500,3352.38
2019-08-18,3500,1696.64
2019-08-19,3500,2574.56
2019-08-20,2500,1480.23
2019-08-21,2500,1528.1
2019-08-22,2500,1172.96
2019-08-23,2500,1901.56
2019-08-24,2500,2168.34
2019-08-25,2500,1941.38
2019-08-26,2500,1094.77
2019-08-27,3000,2117.28
2019-08-28,3000,2178.57
2019-08-29,3000,1056.67
2019-08-30,3000,2223.08
2019-08-31,3000,1296.81
2019-09-01,3000,2424.97
2019-09-02,3000,1307.62
2019-09-03,2500,2006.42
2019-09-04,2500,1255.01
2019-09-05,2500,1201.09
2019-09-06,2500,1292.58
2019-09-07,2500,2504.83
2019-09-08,2500,1362.1
2019-09-09,2500,1749.21
2019-09-10,3000,2441.62
2019-09-11,3000,1683.99
2019-09-12,3000,1117.36
2019-09-13,3000,1079.34
2019-09-14,3000,1408.06
2019-09-15,3000,2546.67
2019-09-16,3000,1514.85
2019-09-17,2500,2787.02
2019-09-18,2500,2297.87
2019-09-19,2500,1072.89
2019-09-20,2500,1497.56
2019-09-21,2500,1098.2
2019-09-22,2500,1895.73
2019-09-23,2500,2908.1
2019-09-24,3000,1310.85
2019-09-25,3000,1736.19
2019-09-26,3000,767.58
2019-09-27,3000,1660.74
2019-09-28,3000,1394.83
2019-09-29,3000,3713.1
2019-09-30,3000,1478.16
2019-10-01,3000,1991.44
2019-10-02,3000,899.05
2019-10-03,3000,2015.98
2019-10-04,3000,2411.39
2019-10-05,3000,1511.94
2019-10-06,3000,2230.76
2019-10-07,3000,2154.78
2019-10-08,3500,1799.54
2019-10-09,3500,734.31
2019-10-10,3500,3705.5
2019-10-11,3500,1450.93
2019-10-12,3500,2839.32
2019-10-13,3500,1353.34
2019-10-14,3500,2114.35
2019-10-15,2500,1317.89
2019-10-16,2500,1218.6
2019-10-17,2500,1783.56
2019-10-18,2500,1150.51
2019-10-19,2500,1631.19
2019-10-20,2500,2827.25
2019-10-21,2500,2848.39
2019-10-22,3500,1900.77
2019-10-23,3500,1153.81
2019-10-24,3500,2330.24
2019-10-25,3500,1416.14
2019-10-26,3500,2374.99
2019-10-27,3500,3271.55
2019-10-28,3500,1691.02
2019-10-29,2000,1564.09
2019-10-30,2000,780.15
2019-10-31,2000,1251.87
2019-11-01,2000,1224.01
2019-11-02,2000,2437.58
2019-11-03,2000,2294.09
2019-11-04,2000,2478.79
2019-11-05,3500,2019.94
2019-11-06,3500,2546.6
2019-11-07,3500,1252.63
2019-11-08,3500,2087.49
2019-11-09,3500,2926.69
2019-11-10,3500,2431.73
2019-11-11,3500,2643.34
2019-11-12,4000,3390.82
2019-11-13,4000,2400.95
2019-11-14,4000,855.19
2019-11-15,4000,737.08
2019-11-16,4000,2716.48
2019-11-17,4000,2964.3
2019-11-18,4000,2825.78
2019-11-19,2500,1915.27
2019-11-20,2500,1893.03
2019-11-21,2500,484.9
2019-11-22,2500,2071.31
2019-11-23,2500,2972.6
2019-11-24,2500,3875.08
2019-11-25,2500,2643.59
2019-11-26,3000,1642.31
2019-11-27,3000,2819.58
2019-11-28,3000,1375.26
2019-11-29,3000,4556.93
2019-11-30,3000,1661.61
2019-12-01,3000,2358.1
2019-12-02,3000,1907.19
2019-12-03,3500,2011.57
2019-12-04,3500,909.19
2019-12-05,3500,2973.53
2019-12-06,3500,1957.58
2019-12-07,3500,3396.14
2019-12-08,3500,2671.9
2019-12-09,3500,2481.51
2019-12-10,4000,3897.2
2019-12-11,4000,1612.93
2019-12-12,4000,2904.23
2019-12-13,4000,3100.42
2019-12-14,4000,3434.31
2019-12-15,4000,3577.45
2019-12-16,4000,3116.98
2019-12-17,4500,1658.91
2019-12-18,4500,663.46
2019-12-19,4500,2829.71
2019-12-20,4500,2876.39
2019-12-21,4500,3112.73
2019-12-22,4500,2309.46
2019-12-23,4500,2199.69
2019-12-24,4000,3749.46
2019-12-25,4000,1133.7
2019-12-26,4000,1881.66
2019-12-27,4000,3396.87
2019-12-28,4000,3246.84
2019-12-29,4000,2546.58
2019-12-30,4000,674.31
2019-12-31,4000,2058.75
